date,rating,text,author,source
2025-11-29,4,Classic football pub feel. Chants from the back room before we walked over.,Pat M.,Google
2025-12-06,4,Terrace fills up fast — get there early. Lager well kept.,Sam T.,Google
2025-12-13,5,Away fan here — felt welcome. Good ale selection and no nonsense.,Jordan T.,Google
2025-12-14,3,Queue for the bar snaked round the corner pre-match. Worth it? Borderline. Would recommend for the atmosphere alone.,Alex S.,Google
2025-12-15,4,Classic football pub feel. Chants from the back room before we walked over.,Riley B.,Google
2025-12-21,4,Kids menu exists but it is still very much a matchday pub. Loud and fun.,Chris N.,Google
2026-01-03,5,Proper matchday pub. Terrace buzz before kick-off is unbeatable and the pint was cold.,Sam T.,Google
2026-01-10,4,Good vibe on the terrace. Staff kept the bar moving despite the rush.,Casey N.,Google
2026-01-24,4,Kids menu exists but it is still very much a matchday pub. Loud and fun.,Pat N.,Google
2026-01-27,3,"Busy and loud — great if you want buzz, less so if you want a quiet pint.",Alex M.,Google
2026-01-31,4,Staff remembered our usual — small thing but nice on a busy night. Terrace was buzzing.,Jamie T.,Google
2026-02-07,5,Best pre-match spot near the ground. Queue moves fast once the doors open.,Sam R.,Google
2026-02-15,4,TVs show the early kick-offs. Pie and chips hit the spot.,Riley R.,Google
2026-02-21,3,"Busy and loud — great if you want buzz, less so if you want a quiet pint. Would recommend for the atmosphere alone.",Taylor M.,Google
2026-02-28,5,Best pre-match spot near the ground. Queue moves fast once the doors open.,Sam R.,Google
2026-03-06,5,Away fan here — felt welcome. Good ale selection and no nonsense. Pricey but expected on matchday.,Alex W.,Google
2026-03-06,3,Food took a while on a busy Saturday. Beer was fine. Queue moved eventually.,Casey R.,Google
2026-03-08,5,Away fan here — felt welcome. Good ale selection and no nonsense.,Casey M.,Google
2026-03-10,4,TVs show the early kick-offs. Pie and chips hit the spot. Pricey but expected on matchday.,Jamie H.,Google
2026-03-14,3,Food took a while on a busy Saturday. Beer was fine. Pricey but expected on matchday.,Alex N.,Google
2026-03-14,5,Away fan here — felt welcome. Good ale selection and no nonsense. Away fans in the back — all calm.,Sam K.,TripAdvisor
2026-03-14,4,TVs show the early kick-offs. Pie and chips hit the spot. Pint pulled well.,Sam H.,Google
2026-03-15,5,Best pre-match spot near the ground. Queue moves fast once the doors open. Away fans in the back — all calm.,Pat R.,Google
2026-03-21,4,Friendly staff even when it was heaving. Would come back for an away day. Would recommend for the atmosphere alone.,Casey N.,Google
2026-03-22,4,TVs show the early kick-offs. Pie and chips hit the spot.,Jordan W.,Google
2026-03-24,4,TVs show the early kick-offs. Pie and chips hit the spot. Away fans in the back — all calm.,Morgan W.,TripAdvisor
2026-03-24,4,Staff remembered our usual — small thing but nice on a busy night. Terrace was buzzing.,Morgan T.,TripAdvisor
2026-03-26,4,Good vibe on the terrace. Staff kept the bar moving despite the rush. Away fans in the back — all calm.,Chris B.,Google
2026-03-27,4,Staff remembered our usual — small thing but nice on a busy night. Pint pulled well.,Chris M.,TripAdvisor
2026-03-28,3,Food took a while on a busy Saturday. Beer was fine. Pint pulled well.,Jordan W.,Google
2026-03-29,3,Decent pub but pricey on pint prices when the match is on.,Casey K.,Google
2026-03-29,4,"Solid lager, fair prices for a matchday. Gets packed an hour before kick-off. Staff were sound.",Jamie T.,Google
2026-03-30,2,Kitchen was slow and the pie was lukewarm. Atmosphere saved it slightly. Heaving by 2pm.,Sam N.,Google
2026-03-31,2,Long wait at the bar post-match. Service struggled when it got rammed. Pricey but expected on matchday.,Riley H.,Google
2026-04-03,5,"Post-match pint with mates — exactly what you want. Warm, noisy, happy. Away fans in the back — all calm.",Riley B.,Google
2026-04-04,3,Decent pub but pricey on pint prices when the match is on. Away fans in the back — all calm.,Chris K.,Google
2026-04-05,5,"Atmosphere on a Saturday is electric — singing, scarves, everyone in good spirits.",Casey S.,TripAdvisor
2026-04-05,5,"Atmosphere on a Saturday is electric — singing, scarves, everyone in good spirits. Screens on every wall.",Riley N.,Google
2026-04-07,5,"Atmosphere on a Saturday is electric — singing, scarves, everyone in good spirits. Staff were sound.",Alex M.,Google
2026-04-08,4,Staff remembered our usual — small thing but nice on a busy night. Screens on every wall.,Casey K.,Google
2026-04-10,3,Food took a while on a busy Saturday. Beer was fine. Queue moved eventually.,Casey T.,Google
2026-04-11,4,"Pre-match ritual: one pint here, then march to the ground. Never change it. Terrace was buzzing.",Jamie R.,TripAdvisor
2026-04-13,3,Queue for the bar snaked round the corner pre-match. Worth it? Borderline.,Taylor H.,Google
2026-04-18,4,Quick service considering how full it was. Buzz is the main draw.,Alex B.,Google
2026-04-23,3,Food took a while on a busy Saturday. Beer was fine. Heaving by 2pm.,Chris N.,Google
2026-04-26,4,Good vibe on the terrace. Staff kept the bar moving despite the rush.,Morgan T.,Google
2026-04-28,5,Away fan here — felt welcome. Good ale selection and no nonsense. Queue moved eventually.,Jamie B.,Google
2026-04-28,2,Kitchen was slow and the pie was lukewarm. Atmosphere saved it slightly. Pie was decent.,Chris P.,Google
2026-05-01,4,Classic football pub feel. Chants from the back room before we walked over. Staff were sound.,Taylor B.,Google
2026-05-02,3,Beer garden packed in summer. Inside was cooler but cramped.,Alex H.,Google
2026-05-02,4,Good vibe on the terrace. Staff kept the bar moving despite the rush. Staff were sound.,Jamie M.,Google
2026-05-03,2,Long wait at the bar post-match. Service struggled when it got rammed. Screens on every wall.,Jamie H.,Google
2026-05-07,4,Friendly staff even when it was heaving. Would come back for an away day. Terrace was buzzing.,Riley B.,TripAdvisor
2026-05-08,3,Decent pub but pricey on pint prices when the match is on.,Jordan K.,TripAdvisor
2026-05-10,4,Terrace fills up fast — get there early. Lager well kept.,Jordan P.,TripAdvisor
2026-05-11,4,Staff remembered our usual — small thing but nice on a busy night. Away fans in the back — all calm.,Riley S.,Google
2026-05-13,4,Proper local feel even with tourists on cup days. Would recommend for the atmosphere alone.,Taylor S.,Google
2026-05-13,3,Food took a while on a busy Saturday. Beer was fine. Pie was decent.,Riley R.,Google
2026-05-17,5,"Atmosphere on a Saturday is electric — singing, scarves, everyone in good spirits.",Casey H.,Google
2026-05-18,2,Long wait at the bar post-match. Service struggled when it got rammed. Pie was decent.,Riley S.,Google
2026-05-19,4,Good vibe on the terrace. Staff kept the bar moving despite the rush. Terrace was buzzing.,Alex B.,Google
2026-05-19,5,Singing in the bar after we won — best part of the day. Would recommend for the atmosphere alone.,Jamie M.,TripAdvisor
2026-05-23,4,"Solid lager, fair prices for a matchday. Gets packed an hour before kick-off. Pie was decent.",Taylor B.,Google
2026-05-23,4,Lively without being hostile to away fans. Pint quality consistent. Away fans in the back — all calm.,Casey H.,TripAdvisor
2026-05-24,4,"Solid lager, fair prices for a matchday. Gets packed an hour before kick-off.",Jamie P.,Google
2026-05-31,4,Lively without being hostile to away fans. Pint quality consistent. Screens on every wall.,Jordan W.,Google
